"cc","year","iso","wic_mys","country","age","sex","educ","weighted_OECD_avg","n_OECD","mean_country","n_country","mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","qamys"
"Japan",2015,392,13.81,"Japan",0,0,0,262.45345050269,182648,296.31,4902,13.81,1.12900020720803,15.5914928615429,93.6,0.176665575284651,0.563174999589755,0.260159425125594,0.200718699596004,590.89,NA,NA,15.5914928615429
"Jordan",2015,400,9.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,0.460936305871564,0.501430224687207,0.0376334694412298,1.7728882,387.01,9.20481262952,9.77116647546,7.363850103616
"Kazakhstan",2015,398,11.31,"Kazakhstan",0,0,0,262.45345050269,182648,249.27,5711,11.31,0.949768423781668,10.7418808729707,91.4,0.331415789592301,0.60104009375493,0.0675441166527687,0.21836853,536.11,NA,NA,10.7418808729707
"Kenya",2015,404,8.28,"Kenya",0,0,0,262.45345050269,182648,170.8426,NA,8.28,0.650944385272043,5.38981951005251,32.5,0.522831862153638,0.451366397832391,0.0258017400139709,18.465027,355.93,6.6399029406,7.34324701068,5.38981951005251
"Kiribati",2015,296,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,0.455111111111111,0.507555555555556,0.0373333333333333,9,NA,NA,NA,NA
"Kuwait",2015,414,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6,0.264310576996367,0.715058817551259,0.0206306054523743,4.0740433,372.3,NA,NA,NA
"Kyrgyzstan",2015,417,10.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,0.39841445742051,0.558792941778194,0.0427926008012957,0.41400146,362.14,NA,NA,NA
"Lao People's Democratic Republic",2015,418,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0.444307729243882,0.5168434794352,0.0388487913209189,15.338959,NA,NA,NA,NA
"Latvia",2015,428,12.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,0.195042400521853,0.612123036780571,0.192834562697576,0.11068726,508.22,NA,NA,NA
"Lebanon",2015,422,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,0.335190375281974,0.583378904914895,0.0814307198031308,4.9305573,454.42,NA,NA,NA
"Lesotho",2015,426,7.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,0.471537612654037,0.484044509839985,0.0444178775059776,23.364799,323.52,6.33551333989,6.98805900634,5.068410671912
"Liberia",2015,430,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.529556869194186,0.440197342104094,0.0302457887017201,51.698639,273.71,1.82709478429,2.59536105476,1.461675827432
"Libyan Arab Jamahiriya",2015,434,8.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,0.372054979070103,0.58472197719363,0.0432230437362673,9.27635766818176,NA,NA,NA,NA
"Lithuania",2015,440,13.48,"Lithuania",0,0,0,262.45345050269,182648,266.07,4824,13.48,1.01377977500537,13.6657513670724,89.8,0.203785811732606,0.609379263301501,0.186834924965894,0.18440247,523.24,NA,NA,13.6657513670724
"Luxembourg",2015,442,13.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.8,0.223672605397777,0.63644381725172,0.139883577350503,0.200718699596004,508.88,NA,NA,NA
"Macao Special Administrative Region of China",2015,446,11.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4,0.17640206357131,0.7375603261774,0.0860376102512897,3.4615097,561.9,NA,NA,NA
"Madagascar",2015,450,4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.527992803736775,0.443667783517916,0.0283394127453084,25.195679,367.58,2.41470138112,3.22111197184,1.931761104896
"Malawi",2015,454,6.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,0.559350102435693,0.410602094240838,0.0300478033234692,37.856461,322.77,3.7188892972,4.33558952904,2.97511143776
"Malaysia",2015,458,11.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.3,0.343957792915797,0.597418363726904,0.0586238433572989,5.4427466,474.05,NA,NA,NA
"Maldives",2015,462,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,0.308795411089866,0.650095602294455,0.0411089866156788,2.2650528,NA,6.768926705,7.2854543196,5.415141364
"Mali",2015,466,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0.584563516367778,0.390102058922858,0.0253344247093639,65.728668,170.91,0.59039812125,0.84294333225,0.472318497
"Malta",2015,470,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,0.200374093991115,0.61585223287351,0.183773673135375,5.4968109,498,NA,NA,NA
"Martinique",2015,474,10.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4,0.244882093806686,0.577092511013216,0.178025395180098,3.0999985,NA,NA,NA,NA
"Mauritania",2015,478,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,0.505295369241435,0.463697434794042,0.0310071959645222,46.502411,NA,NA,NA,NA
"Mauritius",2015,480,9.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.7,0.269032309279987,0.631420179407795,0.0995475113122172,7.6030555,444.73,NA,NA,NA
"Mayotte",2015,175,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,0.520833333333333,0.441666666666667,0.0375,32.3331481691467,NA,NA,NA,NA
"Mexico",2015,484,9.32,"Mexico",0,0,0,262.45345050269,182648,220.3,5651,9.32,0.83938694491556,7.82308632661302,35.7,0.368141081191425,0.567043670068143,0.0648152487404316,5.0788517,443.36,NA,NA,7.82308632661302
"Micronesia (Federated States of)",2015,583,9.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,0.46551724137931,0.491379310344828,0.0431034482758621,9,NA,NA,NA,NA
"Mongolia",2015,496,10.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9,0.364631975005879,0.59653307353781,0.0388349514563107,1.5768814,438.28,NA,NA,NA
"Montenegro",2015,499,11.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.2,0.251034702324101,0.609996816300541,0.138968481375358,1.1528168,441.38,NA,NA,NA
"Morocco",2015,504,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,0.361612440700077,0.574422660831736,0.0639648984681871,26.249992,380.75,2.60999383032,2.89617736524,2.087995064256
"Mozambique",2015,508,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,0.560119532153721,0.408551475943619,0.0313289919026606,41.652786,322.74,1.11999898116,1.49629493445,0.895999184928
"Myanmar",2015,104,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,0.371228804018029,0.575586121617135,0.0531850743648361,24.448799,NA,5.13372856536,5.65411134012,4.106982852288
"Namibia",2015,516,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0.480169854881267,0.48503463060686,0.0347955145118734,8.4727325,325.14,7.28760663639,7.84156308726,5.830085309112
"Nepal",2015,524,5.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,0.438975794098045,0.506265200657401,0.0547590052445539,32.091568,189.48,3.96527467618,4.4600684738,3.172219740944
"Netherlands",2015,528,12.42,"Netherlands",0,0,0,262.45345050269,182648,283.69,4741,12.42,1.0809154898007,13.4249703833247,76.4,0.227168875638339,0.593629896389881,0.17920122797178,0.401437399192008,530.27,NA,NA,13.4249703833247
