"cc","year","iso","wic_mys","adj_factor","qamys_piaac","highLS","prop_19","prop_20_64","prop_65","country","illiterate_prop","hlo_mean","qamys_dhs_full","qamys_dhs_part","tot_dep","youth_dep","old_dep","above_sec","bach_n_higher","master_n_above","sex_ratio","qamys"
"Libyan Arab Jamahiriya",2015,434,8.17,NA,NA,0.395,0.372054979070103,0.58472197719363,0.0432230437362673,"Libya",0.091393242,NA,NA,NA,0.49,0.43,0.06,0.167,0,0,1.02,NA
"Lithuania",2015,440,13.48,1.01377977500537,13.6657513670724,0.898,0.203785811732606,0.609379263301501,0.186834924965894,"Lithuania",0.0024393523,523.24,NA,NA,0.5,0.22,0.28,1.133,0.333,0.128,0.85,13.6657513670724
"Luxembourg",2015,442,13.17,NA,NA,0.738,0.223672605397777,0.63644381725172,0.139883577350503,"Luxembourg",0.002007187,508.88,NA,NA,0.44,0.24,0.2,0.684,0.274,0.187,1.01,NA
"Macao Special Administrative Region of China",2015,446,11.34,NA,NA,0.594,0.17640206357131,0.7375603261774,0.0860376102512897,"Macao",0.034615097,561.9,NA,NA,0.27,0.16,0.11,0.278,0,0,0.92,NA
"Madagascar",2015,450,4.48,NA,NA,0.07,0.527992803736775,0.443667783517916,0.0283394127453084,"Madagascar",0.25195679,367.58,2.41470138112,3.22111197184,0.8,0.75,0.05,0.025,0,0,0.99,1.931761104896
"Malawi",2015,454,6.16,NA,NA,0.146,0.559350102435693,0.410602094240838,0.0300478033234692,"Malawi",0.37856461,322.77,3.7188892972,4.33558952904,0.91,0.85,0.06,0.017,0,0,0.98,2.97511143776
"Malaysia",2015,458,11.61,NA,NA,0.633,0.343957792915797,0.597418363726904,0.0586238433572989,"Malaysia",0.054427466,474.05,NA,NA,0.45,0.36,0.08,0.189,0,0,1.07,NA
"Maldives",2015,462,7.4,NA,NA,0.126,0.308795411089866,0.650095602294455,0.0411089866156788,"Maldives",0.022650528,NA,6.768926705,7.2854543196,0.38,0.32,0.06,0.078,0,0,1.3,5.415141364
"Mali",2015,466,2.25,NA,NA,0.065,0.584563516367778,0.390102058922858,0.0253344247093639,"Mali",0.65728668,170.91,0.59039812125,0.84294333225,1.02,0.97,0.05,0.029,0,0,1,0.472318497
"Malta",2015,470,11.17,NA,NA,0.483,0.200374093991115,0.61585223287351,0.183773673135375,"Malta",0.054968109,498,NA,NA,0.49,0.21,0.27,0.271,0,0,1.01,NA
"Martinique",2015,474,10.97,NA,NA,0.624,0.244882093806686,0.577092511013216,0.178025395180098,"Martinique",0.0097416061,NA,NA,NA,0.57,0.29,0.28,0.217,0,0,0.84,NA
"Mauritania",2015,478,4.22,NA,NA,0.117,0.505295369241435,0.463697434794042,0.0310071959645222,"Mauritania",0.46502411,NA,NA,NA,0.76,0.71,0.05,0.041,0,0,1.01,NA
"Mauritius",2015,480,9.34,NA,NA,0.407,0.269032309279987,0.631420179407795,0.0995475113122172,"Mauritius",0.076030555,444.73,NA,NA,0.42,0.27,0.14,0.068,0,0,0.98,NA
"Mayotte",2015,175,10.14,NA,NA,0.579,0.520833333333333,0.441666666666667,0.0375,"Mayotte",0.4118298,NA,NA,NA,0.83,0.76,0.07,0.195,0,0,0.97,NA
"Mexico",2015,484,9.32,0.83938694491556,7.82308632661302,0.357,0.368141081191425,0.567043670068143,0.0648152487404316,"Mexico",0.050788517,443.36,NA,NA,0.51,0.42,0.1,0.334,0.147,0.015,0.99,7.82308632661302
"Micronesia (Federated States of)",2015,583,9.72,NA,NA,0.503,0.46551724137931,0.491379310344828,0.0431034482758621,"Micronesia",0.034062576,NA,NA,NA,0.62,0.55,0.07,0.117,0,0,1.05,NA
"Mongolia",2015,496,10.48,NA,NA,0.739,0.364631975005879,0.59653307353781,0.0388349514563107,"Mongolia",0.015768814,438.28,NA,NA,0.49,0.43,0.06,0.273,0,0,0.98,NA
"Montenegro",2015,499,11.97,NA,NA,0.832,0.251034702324101,0.609996816300541,0.138968481375358,"Montenegro",0.011528168,441.38,NA,NA,0.48,0.27,0.21,0.426,0.155,0.014,0.97,NA
