iso,year,c_exp_
398,2000,1925.715
398,2005,2850.451
398,2010,1140.1
398,2015,4557.229
400,1970,3309.508
400,1975,247.2318
400,1980,559.0701
400,1985,500.5936
400,1990,4813.628
400,1995,1052.42
400,2000,5206.961
400,2005,5233.209
400,2010,3012.543
400,2015,1489.829
404,1970,500.8533
404,1975,740.7654
404,1980,1004.615
404,1985,1331.144
404,1990,1683.726
404,1995,1691.895
404,2000,2017.89
404,2005,2732.968
404,2010,2843.623
404,2015,3583.954
410,1970,2499.461
410,1975,3460.355
410,1980,8212.201
410,1985,10505.63
410,1990,16634.32
410,1995,22359.15
410,2000,2826.489
410,2005,3339.171
410,2010,46204.16
410,2015,68238.31
414,1970,3309.508
414,1975,2321.514
414,1980,4173.942
414,1985,3436.749
414,1990,4813.628
414,1995,2953.46
414,2000,3755.92
414,2005,3384.618
414,2010,3012.543
414,2015,3422.213
417,1970,167.3937
417,1975,167.3937
417,1980,167.3937
417,1985,167.3937
417,1990,167.3937
417,1995,158.7177
417,2000,170.2043
417,2005,293.8277
417,2010,395.4481
417,2015,456.985
418,1970,1017.434
418,1975,1066.833
418,1980,1630.338
418,1985,2104.426
418,1990,71.83984
418,1995,94.93481
418,2000,124.9634
418,2005,197.5205
418,2010,278.3477
418,2015,8517.755
422,1970,3309.508
422,1975,2321.514
422,1980,4173.942
422,1985,3436.749
422,1990,381.1008
422,1995,530.8707
422,2000,805.9826
422,2005,873.1734
422,2010,970.3408
422,2015,3422.213
426,1970,13.95252
426,1975,47.57924
426,1980,49.52107
426,1985,47.33778
426,1990,76.51031
426,1995,124.9483
426,2000,140.7873
426,2005,175.5605
426,2010,5714.488
426,2015,160.1363
428,1970,15227.4
428,1975,17890.72
428,1980,17636.33
428,1985,19025.02
428,1990,18548.47
428,1995,812.1955
428,2000,1003.344
428,2005,1418.362
428,2010,1518.602
428,2015,1448.224
430,1970,924.6931
430,1975,914.3916
430,1980,317.1434
430,1985,129.3977
430,1990,236.9456
430,1995,207.1425
430,2000,303.803
430,2005,37.01958
430,2010,59.41759
430,2015,88.65193
434,1970,1194.682
434,1975,2520.352
434,1980,2309.649
434,1985,2304.248
434,1990,2620.428
434,1995,857.3509
434,2000,2920.34
434,2005,3984.596
434,2010,1144.729
434,2015,1302.096
440,1970,15227.4
440,1975,17890.72
440,1980,17636.33
440,1985,19025.02
440,1990,18548.47
440,1995,1135.152
440,2000,1583.855
440,2005,1906.002
440,2010,1966.154
440,2015,1855.564
442,1970,329.4858
442,1975,540.9365
442,1980,660.5704
442,1985,793.7508
442,1990,39909.04
442,1995,1036.708
442,2000,1458.489
442,2005,42948.7
442,2010,2246.478
442,2015,2370.06
446,1970,2458.631
446,1975,3547.708
446,1980,6481.832
446,1985,9209.552
446,1990,15042.12
446,1995,449.1306
446,2000,457.2152
446,2005,662.0901
446,2010,1326.027
446,2015,1390.592
450,1970,151.7336
450,1975,200.3213
450,1980,179.4333
450,1985,145.9247
450,1990,125.5723
450,1995,143.2682
450,2000,222.4717
450,2005,292.8872
450,2010,254.5482
450,2015,337.5227
454,1970,35.15547
454,1975,30.69997
454,1980,262.977
454,1985,57.54511
454,1990,60.22001
454,1995,109.6442
454,2000,116.3124
454,2005,608.2354
454,2010,202.8425
454,2015,256.601
458,1970,894.7626
458,1975,1870.947
458,1980,2786.205
458,1985,3412.703
458,1990,4456.611
458,1995,6051.775
458,2000,10411.13
458,2005,9383.288
458,2010,13298.74
458,2015,14595.02
462,1970,2061.291
462,1975,3094.837
462,1980,2526.259
462,1985,2324.528
462,1990,2642.089
462,1995,6919.688
462,2000,120.8157
462,2005,136.9138
462,2010,135.7279
462,2015,185.1611
466,1970,924.6931
466,1975,115.9153
466,1980,115.2598
466,1985,98.76727
466,1990,236.9456
466,1995,156.075
466,2000,256.9124
466,2005,370.0009
466,2010,424.041
466,2015,518.1362
470,1970,60.7378
470,1975,67.28815
470,1980,89.88268
470,1985,114.8431
470,1990,179.8136
470,1995,270.3928
470,2000,312.8303
470,2005,468.3289
470,2010,661.2366
470,2015,588.2631
478,1970,924.6931
478,1975,914.3916
478,1980,317.1434
478,1985,129.3977
478,1990,236.9456
478,1995,53.52878
478,2000,72.08696
478,2005,108.5468
478,2010,125.3753
478,2015,127.058
480,1970,209.3517
480,1975,111.3049
480,1980,107.6967
480,1985,104.2226
480,1990,128.2729
480,1995,234.8217
480,2000,254.0728
480,2005,281.4224
480,2010,419.7025
480,2015,605.021
484,1970,241.9279
484,1975,224.6844
484,1980,407.6244
484,1985,12788.92
484,1990,18320.85
484,1995,25691.94
484,2000,37507.92
484,2005,44807.24
484,2010,51363.45
484,2015,56709.36
492,1970,15743.76
492,1975,19807.45
492,1980,21266.43
492,1985,28.96063
492,1990,30.84118
492,1995,42.08283
492,2000,51.83709
492,2005,64.01153
492,2010,75.45539
492,2015,92.23642
496,1970,2458.631
496,1975,3547.708
496,1980,6481.832
496,1985,9209.552
496,1990,15042.12
496,1995,164.7923
496,2000,221.4962
496,2005,295.2343
496,2010,418.0984
496,2015,492.6536
498,1970,995.8151
498,1975,995.8151
498,1980,995.8151
498,1985,4141.675
498,1990,4141.675
498,1995,337.9714
498,2000,280.6429
498,2005,553.1265
498,2010,553.4225
498,2015,538.5126
504,1970,775.2766
504,1975,1320.671
504,1980,1498.347
504,1985,1716.115
504,1990,1872.585
504,1995,2447.041
504,2000,2920.34
504,2005,4285.983
504,2010,1144.729
504,2015,1302.096
508,1970,209.3517
508,1975,197.4945
508,1980,262.977
508,1985,388.6681
508,1990,737.8761
508,1995,94.26109
508,2000,199.2317
508,2005,265.9677
508,2010,623.4944
508,2015,747.6033
512,1970,3309.508
512,1975,2321.514
512,1980,4173.942
512,1985,802.0977
512,1990,941.4889
512,1995,1336.031
512,2000,1612.304
512,2005,1815.995
512,2010,3142.955
512,2015,3422.213
516,1970,18.69248
516,1975,47.57924
516,1980,68.96449
516,1985,1967.77
516,1990,2306.398
516,1995,365.241
516,2000,371.3239
516,2005,463.9166
516,2010,531.9108
516,2015,9018.789
524,1970,2061.291
524,1975,3094.837
524,1980,2526.259
524,1985,2324.528
524,1990,2642.089
524,1995,298.4576
524,2000,384.0612
524,2005,544.4908
524,2010,663.6445
524,2015,1009.973
528,1970,19432.95
528,1975,22523.38
528,1980,21526.92
528,1985,23737.76
528,1990,24745.2
528,1995,26521.48
528,2000,33020.11
528,2005,38183.36
528,2010,42030.93
528,2015,43295.8
533,1970,1029.026
533,1975,1143.609
533,1980,811.1677
533,1985,145.4076
533,1990,465.8983
533,1995,114.2784
533,2000,124.91
533,2005,142.8154
533,2010,169.0887
533,2015,169.0388
548,1970,253.3918
548,1975,260.6519
548,1980,148.8805
548,1985,125.5214
548,1990,20.07567
548,1995,35.76867
548,2000,42.83087
548,2005,38.28132
548,2010,38.70465
548,2015,41.64391
554,1970,3258.089
554,1975,3629.508
554,1980,3570.698
554,1985,3748.584
554,1990,6218.676
554,1995,7041.667
554,2000,8367.131
554,2005,9035.631
554,2010,10997.07
554,2015,11385.45
558,1970,132.8857
558,1975,160.9768
558,1980,271.6396
558,1985,323.8951
558,1990,155.6377
558,1995,174.5223
558,2000,195.0688
558,2005,8457.155
558,2010,463.8052
558,2015,552.1106
562,1970,29.01935
562,1975,914.3916
562,1980,317.1434
562,1985,129.3977
562,1990,87.67609
562,1995,94.14314
562,2000,108.5215
562,2005,187.9229
562,2010,301.6547
562,2015,366.9605
566,1970,3368.704
566,1975,3573.802
566,1980,317.1434
566,1985,129.3977
566,1990,236.9456
566,1995,207.1425
566,2000,303.803
566,2005,351.1723
566,2010,468.7025
566,2015,581.1589
578,1970,7000.713
578,1975,8551.004
578,1980,9610.293
578,1985,11699.06
578,1990,15840.42
578,1995,20180.77
578,2000,22375.62
578,2005,23262.19
578,2010,26238.77
578,2015,30241.53
583,1970,5.674233
583,1975,19.46511
583,1980,19.46511
583,1985,19.46511
583,1990,19.46511
583,1995,19.46511
583,2000,21.30093
583,2005,40.33508
583,2010,40.33508
583,2015,40.33508
584,1970,5.674233
584,1975,20.63273
584,1980,20.63273
584,1985,20.63273
584,1990,20.63273
584,1995,20.63273
584,2000,17.00341
584,2005,40.33508
584,2010,40.33508
584,2015,40.33508
585,1970,5.674233
585,1975,17.96262
585,1980,17.96262
585,1985,17.96262
585,1990,17.96262
585,1995,17.96262
585,2000,19.27188
585,2005,40.33508
585,2010,40.33508
585,2015,40.33508
586,1970,602.672
586,1975,894.9522
586,1980,1158.862
586,1985,2015.914
586,1990,2613.913
586,1995,3520.752
586,2000,2812.764
586,2005,4955.267
586,2010,5231.541
586,2015,7808.265
591,1970,292.0783
591,1975,369.1302
591,1980,439.8199
591,1985,498.2126
591,1990,589.7817
591,1995,783.1785
591,2000,956.5903
591,2005,1269.001
591,2010,1365.132
591,2015,9419.594
598,1970,253.3918
598,1975,394.6299
598,1980,148.8805
598,1985,125.5214
598,1990,18.41082
598,1995,78.43391
598,2000,130.0243
598,2005,107.4778
598,2010,102.1178
598,2015,438.9344
600,1970,103.5103
600,1975,1617.01
600,1980,2285.038
600,1985,169.1953
600,1990,167.9928
600,1995,889.5386
600,2000,737.0629
600,2005,681.2835
600,2010,1019.439
600,2015,1277.901
604,1970,1867.759
604,1975,1617.01
604,1980,2285.038
604,1985,1964.337
604,1990,1251.489
604,1995,2827.699
604,2000,2905.235
604,2005,3693.992
604,2010,5464.483
604,2015,8032.616
608,1970,1017.434
608,1975,1066.833
608,1980,1593.5
608,1985,1384.248
608,1990,2825.494
608,1995,4008.209
608,2000,4160.752
608,2005,4634.533
608,2010,7249.968
608,2015,8517.755
616,1970,995.8151
616,1975,995.8151
616,1980,995.8151
616,1985,7773.029
616,1990,7773.029
