"iso","year","qamys_dhs_full","qamys_dhs_part"
392,2005,NA,NA
392,2010,NA,NA
392,2015,NA,NA
400,1970,NA,NA
400,1975,NA,NA
400,1980,NA,NA
400,1985,NA,NA
400,1990,NA,NA
400,1995,NA,NA
400,2000,NA,NA
400,2005,NA,NA
400,2010,NA,NA
400,2015,9.77079594041,9.20446357982
398,1970,NA,NA
398,1975,NA,NA
398,1980,NA,NA
398,1985,NA,NA
398,1990,NA,NA
398,1995,NA,NA
398,2000,NA,NA
398,2005,NA,NA
398,2010,NA,NA
398,2015,NA,NA
404,1970,NA,NA
404,1975,NA,NA
404,1980,NA,NA
404,1985,NA,NA
404,1990,NA,NA
404,1995,NA,NA
404,2000,NA,NA
404,2005,6.32351192976,5.84021048193
404,2010,6.8421759029,5.95023733239
404,2015,7.44300659106,6.77096410464
296,1970,NA,NA
296,1975,NA,NA
296,1980,NA,NA
296,1985,NA,NA
296,1990,NA,NA
296,1995,NA,NA
296,2000,NA,NA
296,2005,NA,NA
296,2010,NA,NA
296,2015,NA,NA
414,1970,NA,NA
414,1975,NA,NA
414,1980,NA,NA
414,1985,NA,NA
414,1990,NA,NA
414,1995,NA,NA
414,2000,NA,NA
414,2005,NA,NA
414,2010,NA,NA
414,2015,NA,NA
417,1970,NA,NA
417,1975,NA,NA
417,1980,NA,NA
417,1985,NA,NA
417,1990,NA,NA
417,1995,NA,NA
417,2000,NA,NA
417,2005,NA,NA
417,2010,NA,NA
417,2015,NA,NA
418,1970,NA,NA
418,1975,NA,NA
418,1980,NA,NA
418,1985,NA,NA
418,1990,NA,NA
418,1995,NA,NA
418,2000,NA,NA
418,2005,NA,NA
418,2010,NA,NA
418,2015,NA,NA
428,1970,NA,NA
428,1975,NA,NA
428,1980,NA,NA
428,1985,NA,NA
428,1990,NA,NA
428,1995,NA,NA
428,2000,NA,NA
428,2005,NA,NA
428,2010,NA,NA
428,2015,NA,NA
422,1970,NA,NA
422,1975,NA,NA
422,1980,NA,NA
422,1985,NA,NA
422,1990,NA,NA
422,1995,NA,NA
422,2000,NA,NA
422,2005,NA,NA
422,2010,NA,NA
422,2015,NA,NA
426,1970,NA,NA
426,1975,NA,NA
426,1980,NA,NA
426,1985,NA,NA
426,1990,NA,NA
426,1995,NA,NA
426,2000,NA,NA
426,2005,5.70034955625,5.2615146802
426,2010,6.378091454,5.6841462367
426,2015,6.98779401853,6.33908638709
430,1970,NA,NA
430,1975,NA,NA
430,1980,NA,NA
430,1985,NA,NA
430,1990,NA,NA
430,1995,NA,NA
430,2000,NA,NA
430,2005,2.24230437753,1.78633859691
430,2010,1.71788551077,1.3621617438
430,2015,2.76921158096,2.178283932795
434,2015,NA,NA
440,1970,NA,NA
440,1975,NA,NA
440,1980,NA,NA
440,1985,NA,NA
440,1990,NA,NA
440,1995,NA,NA
440,2000,NA,NA
440,2005,NA,NA
440,2010,NA,NA
440,2015,NA,NA
442,1970,NA,NA
442,1975,NA,NA
442,1980,NA,NA
442,1985,NA,NA
442,1990,NA,NA
442,1995,NA,NA
442,2000,NA,NA
442,2005,NA,NA
442,2010,NA,NA
442,2015,NA,NA
446,1970,NA,NA
446,1975,NA,NA
446,1980,NA,NA
446,1985,NA,NA
446,1990,NA,NA
446,1995,NA,NA
446,2000,NA,NA
446,2005,NA,NA
446,2010,NA,NA
446,2015,NA,NA
450,1970,NA,NA
450,1975,NA,NA
450,1980,NA,NA
450,1985,NA,NA
450,1990,NA,NA
450,1995,NA,NA
450,2000,NA,NA
450,2005,3.03272474056,2.54554139848
450,2010,3.04549892226,2.56089245598
450,2015,3.20060381312,2.50747942144
454,1970,NA,NA
454,1975,NA,NA
454,1980,NA,NA
454,1985,NA,NA
454,1990,NA,NA
454,1995,NA,NA
454,2000,3.087943668,2.7511310025
454,2005,3.6296820763,3.2776070954
454,2010,4.03874518608,3.50549323344
454,2015,4.55522188762667,3.91995125573333
458,1970,NA,NA
458,1975,NA,NA
458,1980,NA,NA
458,1985,NA,NA
458,1990,NA,NA
458,1995,NA,NA
458,2000,NA,NA
458,2005,NA,NA
458,2010,NA,NA
458,2015,NA,NA
462,1970,NA,NA
462,1975,NA,NA
462,1980,NA,NA
462,1985,NA,NA
462,1990,NA,NA
462,1995,NA,NA
462,2000,NA,NA
462,2005,NA,NA
462,2010,NA,NA
462,2015,7.2851780554,6.7686700212
466,1970,NA,NA
466,1975,NA,NA
466,1980,NA,NA
466,1985,NA,NA
466,1990,NA,NA
466,1995,NA,NA
466,2000,0.32207390424,0.24003918576
466,2005,0.43804148696,0.30057964244
466,2010,0.5603987848,0.43630054128
466,2015,0.706996360125,0.502233606
470,1970,NA,NA
470,1975,NA,NA
